ID,invoiceDate,billingAddress,billingCity,billingState,billingCountry,billingPostalCode,total,status,customer_ID
1,2009-01-01 00:00:00,Theodor-Heuss-Straße 34,Stuttgart,,Germany,70174,1.98,1,2
2,2009-01-02 00:00:00,Ullevålsveien 14,Oslo,,Norway,0171,3.96,1,4
3,2009-01-03 00:00:00,Grétrystraat 63,Brussels,,Belgium,1000,5.94,1,8
4,2009-01-06 00:00:00,8210 111 ST NW,Edmonton,AB,Canada,T6G 2C7,8.91,1,14
5,2009-01-11 00:00:00,69 Salem Street,Boston,MA,USA,2113,13.86,1,23
6,2009-01-19 00:00:00,Berger Straße 10,Frankfurt,,Germany,60316,0.99,1,37
7,2009-02-01 00:00:00,Barbarossastraße 19,Berlin,,Germany,10779,1.98,1,38
8,2009-02-01 00:00:00,"8, Rue Hanovre",Paris,,France,75002,1.98,1,40
9,2009-02-02 00:00:00,"9, Place Louis Barthou",Bordeaux,,France,33000,3.96,1,42
10,2009-02-03 00:00:00,3 Chatham Street,Dublin,Dublin,Ireland,,5.94,1,46
11,2009-02-06 00:00:00,202 Hoxton Street,London,,United Kingdom,N1 5LH,8.91,1,52
12,2009-02-11 00:00:00,Theodor-Heuss-Straße 34,Stuttgart,,Germany,70174,13.86,1,2
13,2009-02-19 00:00:00,1600 Amphitheatre Parkway,Mountain View,CA,USA,94043-1351,0.99,1,16
14,2009-03-04 00:00:00,1 Microsoft Way,Redmond,WA,USA,98052-8300,1.98,1,17
15,2009-03-04 00:00:00,1 Infinite Loop,Cupertino,CA,USA,95014,1.98,1,19
16,2009-03-05 00:00:00,801 W 4th Street,Reno,NV,USA,89503,3.96,1,21
17,2009-03-06 00:00:00,319 N. Frances Street,Madison,WI,USA,53703,5.94,1,25
18,2009-03-09 00:00:00,194A Chain Lake Drive,Halifax,NS,Canada,B3S 1C5,8.91,1,31
19,2009-03-14 00:00:00,"8, Rue Hanovre",Paris,,France,75002,13.86,1,40
20,2009-03-22 00:00:00,110 Raeburn Pl,Edinburgh ,,United Kingdom,EH4 1HH,0.99,1,54
21,2009-04-04 00:00:00,421 Bourke Street,Sidney,NSW,Australia,2010,1.98,1,55
22,2009-04-04 00:00:00,"Calle Lira, 198",Santiago,,Chile,,1.98,1,57
23,2009-04-05 00:00:00,"3,Raj Bhavan Road",Bangalore,,India,560001,3.96,1,59
24,2009-04-06 00:00:00,Ullevålsveien 14,Oslo,,Norway,0171,5.94,1,4
25,2009-04-09 00:00:00,"Rua Dr. Falcão Filho, 155",São Paulo,SP,Brazil,01007-010,8.91,1,10
26,2009-04-14 00:00:00,1 Infinite Loop,Cupertino,CA,USA,95014,13.86,1,19
27,2009-04-22 00:00:00,5112 48 Street,Yellowknife,NT,Canada,X1A 1N6,0.99,1,33
28,2009-05-05 00:00:00,Rua da Assunção 53,Lisbon,,Portugal,,1.98,1,34
29,2009-05-05 00:00:00,Tauentzienstraße 8,Berlin,,Germany,10789,1.98,1,36
30,2009-05-06 00:00:00,Barbarossastraße 19,Berlin,,Germany,10779,3.96,1,38
31,2009-05-07 00:00:00,"9, Place Louis Barthou",Bordeaux,,France,33000,5.94,1,42
32,2009-05-10 00:00:00,Lijnbaansgracht 120bg,Amsterdam,VV,Netherlands,1016,8.91,1,48
33,2009-05-15 00:00:00,"Calle Lira, 198",Santiago,,Chile,,13.86,1,57
34,2009-05-23 00:00:00,"Praça Pio X, 119",Rio de Janeiro,RJ,Brazil,20040-020,0.99,1,12
35,2009-06-05 00:00:00,Qe 7 Bloco G,Brasília,DF,Brazil,71020-677,1.98,1,13
36,2009-06-05 00:00:00,700 W Pender Street,Vancouver,BC,Canada,V6C 1G8,1.98,1,15
37,2009-06-06 00:00:00,1 Microsoft Way,Redmond,WA,USA,98052-8300,3.96,1,17
38,2009-06-07 00:00:00,801 W 4th Street,Reno,NV,USA,89503,5.94,1,21
39,2009-06-10 00:00:00,1033 N Park Ave,Tucson,AZ,USA,85719,8.91,1,27
40,2009-06-15 00:00:00,Tauentzienstraße 8,Berlin,,Germany,10789,13.86,1,36
41,2009-06-23 00:00:00,C/ San Bernardo 85,Madrid,,Spain,28015,0.99,1,50
42,2009-07-06 00:00:00,Celsiusg. 9,Stockholm,,Sweden,11230,1.98,1,51
43,2009-07-06 00:00:00,113 Lupus St,London,,United Kingdom,SW1V 3EN,1.98,1,53
44,2009-07-07 00:00:00,421 Bourke Street,Sidney,NSW,Australia,2010,3.96,1,55
45,2009-07-08 00:00:00,"3,Raj Bhavan Road",Bangalore,,India,560001,5.94,1,59
46,2009-07-11 00:00:00,Rilská 3174/6,Prague,,Czech Republic,14300,8.91,1,6
47,2009-07-16 00:00:00,700 W Pender Street,Vancouver,BC,Canada,V6C 1G8,13.86,1,15
48,2009-07-24 00:00:00,796 Dundas Street West,Toronto,ON,Canada,M6J 1V1,0.99,1,29
49,2009-08-06 00:00:00,230 Elgin Street,Ottawa,ON,Canada,K2P 1L7,1.98,1,30
50,2009-08-06 00:00:00,696 Osborne Street,Winnipeg,MB,Canada,R3L 2B9,1.98,1,32
51,2009-08-07 00:00:00,Rua da Assunção 53,Lisbon,,Portugal,,3.96,1,34
52,2009-08-08 00:00:00,Barbarossastraße 19,Berlin,,Germany,10779,5.94,1,38
